id,name,artist,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6YYd5MLpu45J0uLrMdivF7,Got Your Money (feat. Kelis),Ol' Dirty Bastard,Hip-hop 90s,0.934,0.459,1,-7.654,0.189,0.0516,0.0,0.222,0.697,103.04,239547,4
30oTS7bm0aH3p7lqjEIu8q,Full Clip,Gang Starr,Hip-hop 90s,0.875,0.745,1,-5.878,0.269,0.0227,2.4e-06,0.287,0.75,95.203,217440,4
2KFg8kjYy0rYjWsXGhEQHN,Who Shot Ya? - 2005 Remaster,The Notorious B.I.G.,Hip-hop 90s,0.831,0.682,7,-5.697,0.238,0.256,0.0,0.494,0.6,91.771,319360,4
1dF5Y2dd7Wm4wZKvVjWBpr,1st of Tha Month,Bone Thugs-N-Harmony,Hip-hop 90s,0.729,0.581,5,-8.235,0.18,0.0777,3.81e-06,0.696,0.508,74.038,314680,4
1Sgj10byiGzPpI2IrXSFEn,Protect Ya Neck,Wu-Tang Clan,Hip-hop 90s,0.822,0.509,8,-12.31,0.415,0.0353,7.26e-06,0.771,0.823,102.007,291267,4
2CPturRUlpvirYr7VpkXCV,It Ain't Hard to Tell,Nas,Hip-hop 90s,0.69,0.729,11,-5.819,0.221,1.7e-05,0.0431,0.152,0.357,91.376,202107,4
21NA5Zggba7pyACm25h6k4,Fuck Wit Dre Day (And Everybody's Celebratin'),Dr. Dre,Hip-hop 90s,0.587,0.858,6,-3.516,0.225,0.0419,0.0,0.322,0.527,93.855,291053,4
0B8drtTSp68pZdkmVrG9ZA,Twinz (feat. Fat Joe),Big Pun,Hip-hop 90s,0.634,0.763,0,-7.216,0.323,0.32,3.4e-06,0.237,0.519,94.981,228173,4
0shK5iZQppbHPQYiy60xs9,Rosa Parks,Outkast,Hip-hop 90s,0.792,0.701,6,-7.198,0.283,0.105,0.0,0.761,0.251,103.89,324373,4
4HfxDJ0uLHTLe0fZrx0MbQ,Check the Rhime,A Tribe Called Quest,Hip-hop 90s,0.881,0.361,11,-14.727,0.237,0.0503,0.0046,0.254,0.797,96.43,216693,4
3ABG1UQTk0eLYUAeWkmfMi,Shimmy Shimmy Ya,Ol' Dirty Bastard,Hip-hop 90s,0.814,0.481,0,-5.183,0.245,0.097,3.83e-05,0.0495,0.193,96.252,161400,4
3gY6tiCNsuVi6s8kPV6aQg,Nas Is Like,Nas,Hip-hop 90s,0.634,0.845,11,-5.058,0.352,0.00602,5.29e-06,0.0598,0.929,94.0,237027,4
65iyI1iybyv5ecsfBHSdUf,Gangsta Nation,Westside Connection,Hip-hop 90s,0.843,0.7,9,-3.249,0.26,0.127,0.0,0.876,0.675,95.05,293053,4
